label,run_name,masked_next_claim_token_weight,observed_claim_loss_weight,target_probe_mae_dollars,target_probe_wape_percent,target_probe_rmse_dollars,q4_high_cost_rmse_dollars,q4_high_cost_mae_dollars,delta_rmse_vs_baseline,delta_q4_rmse_vs_baseline
baseline_mask070,R5_mask070_cpt_icd_seed42,0.2,0.25,2041.5577392578125,44.057071685791016,3116.9287109375,3446.925048828125,2291.34033203125,0.0,0.0
tokw020_obs000,OBS_mask070_obs000_seed42,0.2,0.0,2050.02197265625,44.23973083496094,3119.467041015625,3414.6630859375,2265.822509765625,2.538330078125,-32.261962890625
tokw040_obs010,GWOBS_mask070_tokw040_obs010_seed42,0.4,0.1,2044.4376220703125,44.11922073364258,3119.469482421875,3431.09228515625,2272.712890625,2.540771484375,-15.832763671875
tokw020_obs010,OBS_mask070_obs010_seed42,0.2,0.1,2044.2222900390625,44.11457443237305,3119.667236328125,3421.799560546875,2269.656494140625,2.738525390625,-25.12548828125
tokw040_obs000,GWOBS_mask070_tokw040_obs000_seed42,0.4,0.0,2049.45751953125,44.22755432128906,3122.29638671875,3429.058837890625,2275.642578125,5.36767578125,-17.8662109375
tokw010_obs025,GW_mask070_tokw010_seed42,0.1,0.25,2049.872314453125,44.23649978637695,3124.971923828125,3436.9345703125,2276.18359375,8.043212890625,-9.990478515625
tokw040_obs025,GW_mask070_tokw040_seed42,0.4,0.25,2057.190185546875,44.3944206237793,3131.08203125,3450.52783203125,2289.036865234375,14.1533203125,3.602783203125
