name,seed,epochs,overrides,mae_dollars,rmse_dollars,wape_percent,retrieval_at_5,silhouette,missing_cpt_rmse,missing_icd_rmse,cpt_to_icd_hit5,icd_to_cpt_hit5,rare_cpt_to_icd_hit5
lejepa_anycode_l1w1_seed42_e4,42,4,,1634.7125244140625,2629.29345703125,35.15985870361328,0.759723964868256,0.24473033845424652,2887.921630859375,2652.48974609375,0.26953125,0.048828125,0.044009779951100246
lejepa_anycode_l1w1_seed43_e4,43,4,,1652.686279296875,2640.004638671875,35.546443939208984,0.7531367628607277,0.22288770973682404,4215.23095703125,3056.47412109375,0.2666015625,0.049072265625,0.04058679706601467
lejepa_anycode_l1w1_seed44_e4,44,4,,1663.5849609375,2634.790771484375,35.78085708618164,0.7594102885821832,0.2275521606206894,4333.09912109375,2868.000244140625,0.27099609375,0.04833984375,0.044987775061124696
lejepa_anycode_l1w0_seed42_e4,42,4,level1_predictive_weight=0.0,1634.687255859375,2629.318359375,35.15931701660156,0.7587829360100377,0.24448344111442566,2887.69873046875,2652.40673828125,0.005615234375,0.0068359375,0.011246943765281174
lejepa_anycode_l1w01_seed42_e4,42,4,level1_predictive_weight=0.1,1634.737548828125,2629.323486328125,35.160396575927734,0.7590966122961104,0.24448734521865845,2887.037353515625,2652.1376953125,0.269287109375,0.048583984375,0.044009779951100246
screen_anchor_seed42_e2,42,2,,1809.13720703125,2910.29443359375,37.867305755615234,0.7695,0.22152818739414215,3492.65869140625,2883.373291015625,0.1884765625,0.18896484375,0.016194331983805668
screen_cap10_moments_seed42_e2,42,2,max_cpt_tokens=10;max_icd_tokens=10,1816.6142578125,2939.374755859375,38.023807525634766,0.767,0.23431073129177094,3437.57763671875,2864.724365234375,0.18359375,0.1904296875,0.00910010111223458
screen_cap10_query_seed42_e2,42,2,max_cpt_tokens=10;max_icd_tokens=10;claim_pooling_type=query_attention,1801.1116943359375,2892.6376953125,37.69932174682617,0.76,0.20035430788993835,3325.749267578125,3467.990966796875,0.1865234375,0.1923828125,0.015166835187057633
screen_cap10_query_rarity_seed42_e2,42,2,max_cpt_tokens=10;max_icd_tokens=10;claim_pooling_type=query_attention;claim_pooling_use_rarity=true,1801.1173095703125,2892.645751953125,37.699440002441406,0.76,0.20034857094287872,3325.467041015625,3467.803466796875,0.1865234375,0.1923828125,0.015166835187057633
screen_cap10_self_attention_seed42_e2,42,2,max_cpt_tokens=10;max_icd_tokens=10;claim_pooling_type=self_attention,1822.99609375,2925.561279296875,38.15739059448242,0.7755,0.20194998383522034,4280.50927734375,3126.436767578125,0.18603515625,0.19140625,0.015166835187057633
screen_ttnc_shared_seed42_e2,42,2,share_ttnc_embeddings=true,1820.468994140625,2910.463623046875,38.1044921875,0.774,0.2159915268421173,3313.23779296875,2937.649169921875,0.1884765625,0.18896484375,0.016194331983805668
screen_ttnc_composer_only_seed42_e2,42,2,ttnc_in_sequence=false,1800.6627197265625,2913.06494140625,37.68992614746094,0.7715,0.2290673702955246,4462.130859375,2841.8779296875,0.1884765625,0.18896484375,0.016194331983805668
screen_ttnc_sequence_only_seed42_e2,42,2,ttnc_in_composer=false,1886.2667236328125,2996.989501953125,39.481712341308594,0.7385,0.17108683288097382,3201.3505859375,3374.24951171875,0.1884765625,0.18896484375,0.016194331983805668
screen_ttnc_ordinal_seed42_e2,42,2,use_ttnc_ordinal_embedding=true,1793.563232421875,2889.900146484375,37.541324615478516,0.7675,0.21053732931613922,5080.19189453125,2967.698486328125,0.18896484375,0.18896484375,0.016194331983805668
screen_query_decoder_seed42_e2,42,2,level2_decoder_type=cross_attention,1804.8094482421875,2887.561767578125,37.7767219543457,0.7625,0.19705255329608917,4000.200439453125,2848.1640625,0.1884765625,0.18896484375,0.016194331983805668
screen_query_masked_claim_seed42_e2,42,2,level2_decoder_type=cross_attention;use_masked_claim_jepa=true,1812.9554443359375,2887.12158203125,37.947227478027344,0.77,0.18742799758911133,4099.79931640625,2915.01806640625,0.1884765625,0.18896484375,0.016194331983805668
screen_query_multihypothesis_seed42_e2,42,2,level2_decoder_type=cross_attention;use_multi_hypothesis_future=true;multi_hypothesis_count=4,1804.313232421875,2885.755859375,37.766334533691406,0.7665,0.19673477113246918,4073.51123046875,2859.616943359375,0.1884765625,0.18896484375,0.016194331983805668
screen_query_masked_multihypothesis_seed42_e2,42,2,level2_decoder_type=cross_attention;use_masked_claim_jepa=true;use_multi_hypothesis_future=true;multi_hypothesis_count=4,1814.217529296875,2883.795166015625,37.97364044189453,0.7635,0.1976725459098816,4198.15283203125,2928.951904296875,0.1884765625,0.18896484375,0.016194331983805668
screen_history100_seed42_e2,42,2,max_claims_len=100,1778.449462890625,2877.7939453125,37.2249755859375,0.771,0.19442956149578094,3200.175048828125,2929.07373046875,0.123046875,0.20947265625,0.015748031496062992
promote_history100_l1w1_seed42_e4,42,4,max_claims_len=100,1633.7322998046875,2621.5234375,35.13877487182617,0.7540777917189461,0.21715429425239563,2956.673095703125,2623.6162109375,0.21728515625,0.1982421875,0.0115
promote_history100_l1w1_seed43_e4,43,4,max_claims_len=100,1624.369873046875,2585.494140625,34.93740463256836,0.760978670012547,0.20633111894130707,5895.3984375,2652.371337890625,0.21484375,0.21875,0.009
promote_history100_l1w1_seed44_e4,44,4,max_claims_len=100,1669.6060791015625,2657.32421875,35.91035842895508,0.7581555834378921,0.202281191945076,4142.2412109375,2846.568359375,0.219482421875,0.193115234375,0.0135
lejepa_anycode_l1w01_seed43_e4,43,4,level1_predictive_weight=0.1,1652.700927734375,2639.9921875,35.546756744384766,0.7534504391468005,0.24344301223754883,4212.41064453125,3055.501220703125,0.267333984375,0.04931640625,0.041075794621026895
lejepa_anycode_l1w01_seed44_e4,44,4,level1_predictive_weight=0.1,1663.639892578125,2634.83837890625,35.78203582763672,0.759723964868256,0.22641220688819885,4331.0859375,2867.77783203125,0.27099609375,0.048583984375,0.044987775061124696
promote_history100_l1w01_seed42_e4,42,4,max_claims_len=100;level1_predictive_weight=0.1,1633.9278564453125,2621.845458984375,35.142982482910156,0.7550188205771644,0.20588111877441406,2957.591796875,2623.60546875,0.217041015625,0.1982421875,0.011
