"variant","seed","mae_dollars","wape_percent","rmse_dollars","q4_rmse_dollars","q4_mae_dollars","q4_wape_percent"
"baseline","42","2041.55773925781","44.057071685791","3116.9287109375","3446.92504882813","2291.34033203125","26.2035484313965"
"baseline","7","2086.5625","45.3222122192383","3172.90771484375","3394.27587890625","2252.23583984375","25.5267009735107"
"baseline","123","2098.66235351563","45.1101341247559","3195.26904296875","3535.65673828125","2318.43139648438","25.7242698669434"
"batch256","42","2053.41137695313","44.312873840332","3133.76684570313","3418.16870117188","2268.96411132813","25.9476585388184"
"batch256","7","2096.67602539063","45.5418853759766","3192.40307617188","3387.80981445313","2249.62353515625","25.4970932006836"
"batch256","123","2095.63818359375","45.0451316833496","3192.96264648438","3553.12548828125","2311.01123046875","25.641939163208"
"batch256_cosine_wd0","42","2057.23022460938","44.3952865600586","3130.63037109375","3430.41235351563","2267.35180664063","25.9292182922363"
"batch256_cosine_wd0","7","2089.5751953125","45.3876495361328","3177.97900390625","3392.25415039063","2245.41552734375","25.4493980407715"
"batch256_cosine_wd0","123","2075.04052734375","44.6023902893066","3185.87915039063","3540.8154296875","2323.61791992188","25.7818183898926"
