recipe,checkpoint,target_probe_mae_dollars,target_probe_wape_percent,target_probe_rmse_dollars,target_probe_rmse_log1p,cluster_silhouette,ttnc_proxy_retrieval_hit_rate_at_5,ttnc_proxy_label_cluster_ari,ttnc_proxy_probe_accuracy,ttnc_proxy_probe_macro_f1,num_samples,embedding_dim,device,ttnc_proxy_label_source
lpwm_dense_gaussian_cap32,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\capacity_ablation_seed42_e2\lpwm_dense_gaussian_cap32\encoder.ckpt,1837.04248046875,38.45139694213867,2963.981689453125,0.8072984218597412,0.1673317700624466,0.783,0.14288878975654096,,,2000,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_cap32,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\capacity_ablation_seed42_e2\lpwm_rectified_laplace_cap32\encoder.ckpt,1779.600341796875,37.24906539916992,2906.931640625,0.8067263960838318,0.18927593529224396,0.773,0.12156031738872648,,,2000,256,cuda,last_valid_ttnc
lpwm_dense_gaussian_cap64,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\capacity_ablation_seed42_e2\lpwm_dense_gaussian_cap64\encoder.ckpt,1790.75634765625,37.48257064819336,2925.2666015625,0.8024303913116455,0.1812310516834259,0.779,0.17860777582389642,,,2000,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_cap64,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\capacity_ablation_seed42_e2\lpwm_rectified_laplace_cap64\encoder.ckpt,1820.769287109375,38.11077880859375,2942.07861328125,0.8127698302268982,0.18157389760017395,0.769,0.1420115801934156,,,2000,256,cuda,last_valid_ttnc
