recipe,checkpoint,target_probe_mae_dollars,target_probe_wape_percent,target_probe_rmse_dollars,target_probe_rmse_log1p,cluster_silhouette,ttnc_proxy_retrieval_hit_rate_at_5,ttnc_proxy_label_cluster_ari,ttnc_proxy_probe_accuracy,ttnc_proxy_probe_macro_f1,num_samples,embedding_dim,device,ttnc_proxy_label_source
lpwm_dense_gaussian_w003,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\rdm_weight_sweep_seed42_e2\lpwm_dense_gaussian_w003\encoder.ckpt,1643.4559326171875,35.34791564941406,2640.09521484375,0.8266072869300842,0.1707356572151184,0.7716436637390214,0.1750781641486921,,,3188,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_w003,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\rdm_weight_sweep_seed42_e2\lpwm_rectified_laplace_w003\encoder.ckpt,1628.2841796875,35.0215950012207,2630.787353515625,0.8319936990737915,0.19351662695407867,0.7606649937264742,0.15342255944091834,,,3188,256,cuda,last_valid_ttnc
lpwm_dense_gaussian_w03,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\rdm_weight_sweep_seed42_e2\lpwm_dense_gaussian_w03\encoder.ckpt,1616.1474609375,34.760555267333984,2613.084716796875,0.8221641182899475,0.18981841206550598,0.7738393977415308,0.17553168320804724,,,3188,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_w03,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\rdm_weight_sweep_seed42_e2\lpwm_rectified_laplace_w03\encoder.ckpt,1626.3203125,34.97935485839844,2626.650146484375,0.8319080471992493,0.19839470088481903,0.7616060225846926,0.15474352582323617,,,3188,256,cuda,last_valid_ttnc
