recipe,checkpoint,target_probe_mae_dollars,target_probe_wape_percent,target_probe_rmse_dollars,target_probe_rmse_log1p,cluster_silhouette,ttnc_proxy_retrieval_hit_rate_at_5,ttnc_proxy_label_cluster_ari,ttnc_proxy_probe_accuracy,ttnc_proxy_probe_macro_f1,num_samples,embedding_dim,device,ttnc_proxy_label_source
lpwm_dense_mse,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\mechanism_ablation_seed42_e2\lpwm_dense_mse\encoder.ckpt,1832.1610107421875,38.349220275878906,2957.34912109375,0.8087508082389832,0.195485457777977,0.7815,0.19114873946736113,,,2000,256,cuda,last_valid_ttnc
lpwm_rectified_mse,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\mechanism_ablation_seed42_e2\lpwm_rectified_mse\encoder.ckpt,1796.9339599609375,37.611881256103516,2915.63330078125,0.8125259876251221,0.17336541414260864,0.776,0.13102714054903278,,,2000,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_w1,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\mechanism_ablation_seed42_e2\lpwm_rectified_laplace_w1\encoder.ckpt,1771.9234619140625,37.08837890625,2873.14599609375,0.8123500943183899,0.2004331797361374,0.78,0.12467141987707793,,,2000,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_mu_neg1_w1,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\mechanism_ablation_seed42_e2\lpwm_rectified_laplace_mu_neg1_w1\encoder.ckpt,1787.5345458984375,37.415138244628906,2890.166748046875,0.8122394680976868,0.19045865535736084,0.779,0.12507088340299638,,,2000,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_mu_neg1_w1_both,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\mechanism_ablation_seed42_e2\lpwm_rectified_laplace_mu_neg1_w1_both\encoder.ckpt,1780.6756591796875,37.27157211303711,2890.08935546875,0.8115666508674622,0.19423402845859528,0.7735,0.12255998891462404,,,2000,256,cuda,last_valid_ttnc
lpwm_relu_laplace,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\mechanism_ablation_seed42_e2\lpwm_relu_laplace\encoder.ckpt,1796.2989501953125,37.59858703613281,2912.022216796875,0.8155471086502075,0.18566006422042847,0.779,0.11380074060659456,,,2000,256,cuda,last_valid_ttnc
