label,run_name,mae_dollars,wape_percent,rmse_dollars,q4_rmse_dollars,delta_rmse_vs_baseline,delta_q4_vs_baseline
obs000_baseline,OBS_mask070_obs000_seed42,2050.02197265625,44.23973083496094,3119.467041015625,3414.6630859375,0.0,0.0
code_attention,ATTN_obs000_code_seed42,2054.907470703125,44.34516143798828,3118.60888671875,3438.003173828125,-0.858154296875,23.340087890625
code_plus_component,ATTN_obs000_code_component_seed42,2091.837646484375,45.142120361328125,3181.94482421875,3439.2333984375,62.477783203125,24.5703125
