"variant","seed","mae_dollars","wape_percent","rmse_dollars","q4_rmse_dollars","q4_mae_dollars","q4_wape_percent"
"cpt_icd_mask070","42","2041.55773925781","44.057071685791","3116.9287109375","3446.92504882813","2291.34033203125","26.2035484313965"
"cpt_icd_mask070","7","2086.5625","45.3222122192383","3172.90771484375","3394.27587890625","2252.23583984375","25.5267009735107"
"cpt_icd_mask070","123","2098.66235351563","45.1101341247559","3195.26904296875","3535.65673828125","2318.43139648438","25.7242698669434"
"icd_only_mask070","42","2054.26806640625","44.3313598632813","3133.9501953125","3413.09545898438","2270.25610351563","25.9624309539795"
"icd_only_mask070","7","2087.97680664063","45.3529281616211","3173.2861328125","3400.5068359375","2259.27099609375","25.6064357757568"
"icd_only_mask070","123","2096.58642578125","45.0655097961426","3198.98022460938","3540.30078125","2322.30590820313","25.767261505127"
