recipe,checkpoint,target_probe_mae_dollars,target_probe_wape_percent,target_probe_rmse_dollars,target_probe_rmse_log1p,cluster_silhouette,ttnc_proxy_retrieval_hit_rate_at_5,ttnc_proxy_label_cluster_ari,ttnc_proxy_probe_accuracy,ttnc_proxy_probe_macro_f1,num_samples,embedding_dim,device,ttnc_proxy_label_source
lpwm_rectified_laplace_cap32_support_w001,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\support_alignment_seed42_e2\lpwm_rectified_laplace_cap32_support_w001\encoder.ckpt,1608.8814697265625,34.60427474975586,2612.308349609375,0.8273065686225891,0.1907099038362503,0.7694479297365119,0.15234679166226275,,,3188,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_cap32_support_w003,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\support_alignment_seed42_e2\lpwm_rectified_laplace_cap32_support_w003\encoder.ckpt,1608.263916015625,34.59099578857422,2612.565673828125,0.82685786485672,0.1932186782360077,0.7688205771643664,0.15223410772262236,,,3188,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_cap32_support_w01,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\support_alignment_seed42_e2\lpwm_rectified_laplace_cap32_support_w01\encoder.ckpt,1608.525390625,34.59661865234375,2613.00341796875,0.8266317248344421,0.19394464790821075,0.766624843161857,0.15276493324699184,,,3188,256,cuda,last_valid_ttnc
