recipe,checkpoint,target_probe_mae_dollars,target_probe_wape_percent,target_probe_rmse_dollars,target_probe_rmse_log1p,cluster_silhouette,ttnc_proxy_retrieval_hit_rate_at_5,ttnc_proxy_label_cluster_ari,ttnc_proxy_probe_accuracy,ttnc_proxy_probe_macro_f1,num_samples,embedding_dim,device,ttnc_proxy_label_source
lpwm_dense_gaussian,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\screen_selected_anchor_seed42_e2\lpwm_dense_gaussian\encoder.ckpt,1633.68115234375,35.13767623901367,2630.362060546875,0.8248763680458069,0.1789393424987793,0.7728983688833124,0.20304118875057076,,,3188,256,cuda,last_valid_ttnc
lpwm_dense_laplace,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\screen_selected_anchor_seed42_e2\lpwm_dense_laplace\encoder.ckpt,1633.8839111328125,35.14203643798828,2630.259033203125,0.8248710632324219,0.1926450878381729,0.7741530740276035,0.19389178907828128,,,3188,256,cuda,last_valid_ttnc
lpwm_rectified_gaussian,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\screen_selected_anchor_seed42_e2\lpwm_rectified_gaussian\encoder.ckpt,1626.317138671875,34.979286193847656,2629.343994140625,0.8320335149765015,0.1938198357820511,0.7581555834378921,0.1576621277321812,,,3188,256,cuda,last_valid_ttnc
lpwm_rectified_laplace,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\screen_selected_anchor_seed42_e2\lpwm_rectified_laplace\encoder.ckpt,1626.9439697265625,34.99277114868164,2630.484619140625,0.8317604064941406,0.19243761897087097,0.7575282308657465,0.1548839779862403,,,3188,256,cuda,last_valid_ttnc
lpwm_rectified_laplace_mu_neg1,C:\Users\tmcke\code\JEPA-For-Claims\experiments\lpwm_claims_pilot_20260826\screen_selected_anchor_seed42_e2\lpwm_rectified_laplace_mu_neg1\encoder.ckpt,1625.60693359375,34.964012145996094,2630.3974609375,0.8314041495323181,0.1886395514011383,0.7572145545796738,0.14679005178305568,,,3188,256,cuda,last_valid_ttnc
